#  Maryland Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
190001,33.2,0.8
190002,31.8,-2.0
190003,37.2,-5.3
190004,51.5,-0.6
190005,62.7,0.4
190006,71.5,0.9
190007,77.3,2.2
190008,77.8,4.6
190009,71.8,4.8
190010,60.3,4.5
190011,47.3,2.5
190012,34.6,-0.7
190101,32.6,0.2
190102,27.1,-6.7
190103,42.8,0.3
190104,48.5,-3.6
190105,60.7,-1.6
190106,70.7,0.1
190107,78.5,3.4
190108,74.6,1.4
190109,66.4,-0.6
190110,54.6,-1.2
190111,38.8,-6.0
190112,32.6,-2.7
190201,29.5,-2.9
190202,27.3,-6.5
190203,44.6,2.1
190204,50.9,-1.2
190205,63.2,0.9
190206,70.0,-0.6
190207,75.4,0.3
190208,71.1,-2.1
190209,65.2,-1.8
190210,56.8,1.0
190211,49.6,4.8
190212,33.0,-2.3
190301,30.9,-1.5
190302,35.0,1.2
190303,48.5,6.0
190304,51.6,-0.5
190305,63.0,0.7
190306,65.7,-4.9
190307,74.5,-0.6
190308,70.8,-2.4
190309,65.7,-1.3
190310,55.9,0.1
190311,40.3,-4.5
190312,30.1,-5.2
190401,25.6,-6.8
190402,26.2,-7.6
190403,40.4,-2.1
190404,48.3,-3.8
190405,63.1,0.8
190406,69.7,-0.9
190407,73.2,-1.9
190408,71.4,-1.8
190409,66.5,-0.5
190410,52.8,-3.0
190411,41.0,-3.8
190412,28.8,-6.5
190501,27.9,-4.5
190502,24.5,-9.3
190503,43.5,1.0
190504,51.9,-0.2
190505,64.0,1.7
190506,70.3,-0.3
190507,74.7,-0.4
190508,72.0,-1.2
190509,66.4,-0.6
190510,55.9,0.1
190511,42.4,-2.4
190512,36.0,0.7
190601,37.9,5.5
190602,32.6,-1.2
190603,36.5,-6.0
190604,53.3,1.2
190605,63.0,0.7
190606,71.6,1.0
190607,73.8,-1.3
190608,75.3,2.1
190609,70.1,3.1
190610,55.0,-0.8
190611,44.2,-0.6
190612,35.0,-0.3
190701,34.8,2.4
190702,27.2,-6.6
190703,45.6,3.1
190704,46.4,-5.7
190705,57.9,-4.4
190706,64.5,-6.1
190707,74.2,-0.9
190708,71.0,-2.2
190709,67.8,0.8
190710,50.4,-5.4
190711,42.5,-2.3
190712,36.6,1.3
190801,32.0,-0.4
190802,29.0,-4.8
190803,45.3,2.8
190804,53.8,1.7
190805,63.2,0.9
190806,70.0,-0.6
190807,76.2,1.1
190808,71.1,-2.1
190809,65.0,-2.0
190810,56.8,1.0
190811,43.5,-1.3
190812,35.5,0.2
190901,34.3,1.9
190902,41.0,7.2
190903,40.1,-2.4
190904,51.9,-0.2
190905,61.8,-0.5
190906,71.4,0.8
190907,72.6,-2.5
190908,71.1,-2.1
190909,64.8,-2.2
190910,51.0,-4.8
190911,47.9,3.1
190912,29.9,-5.4
191001,31.3,-1.1
191002,32.7,-1.1
191003,48.1,5.6
191004,55.3,3.2
191005,60.0,-2.3
191006,67.6,-3.0
191007,75.4,0.3
191008,71.7,-1.5
191009,68.7,1.7
191010,58.2,2.4
191011,39.2,-5.6
191012,28.0,-7.3
191101,35.9,3.5
191102,35.0,1.2
191103,39.4,-3.1
191104,48.2,-3.9
191105,66.9,4.6
191106,71.2,0.6
191107,76.6,1.5
191108,74.2,1.0
191109,68.7,1.7
191110,55.5,-0.3
191111,41.5,-3.3
191112,39.2,3.9
191201,23.4,-9.0
191202,28.6,-5.2
191203,39.0,-3.5
191204,53.9,1.8
191205,63.2,0.9
191206,68.8,-1.8
191207,73.8,-1.3
191208,71.1,-2.1
191209,68.6,1.6
191210,57.2,1.4
191211,45.0,0.2
191212,37.5,2.2
191301,40.9,8.5
191302,33.6,-0.2
191303,46.8,4.3
191304,53.2,1.1
191305,62.0,-0.3
191306,70.5,-0.1
191307,75.4,0.3
191308,72.3,-0.9
191309,65.8,-1.2
191310,57.0,1.2
191311,45.7,0.9
191312,38.0,2.7
191401,34.9,2.5
191402,28.1,-5.7
191403,37.0,-5.5
191404,50.7,-1.4
191405,64.4,2.1
191406,71.7,1.1
191407,73.6,-1.5
191408,73.8,0.6
191409,63.9,-3.1
191410,58.4,2.6
191411,43.3,-1.5
191412,31.0,-4.3
